id,title,is_paid,price,num_subscribers,avg_rating,num_reviews,num_lectures,Level,content_length_min,published_time,category,course_url
482404,CSS3 for beginners,TRUE,195,3831,4.45,15,25,Beginner Level,1.5,2015-04-23T17:43:44Z,Web Development,https://www.udemy.com/css-learn-css-from-scratch/
482534,Ultimate Retirement: Build Your Own Dynamic Retirement Plan,TRUE,50,1184,4.95,15,37,Intermediate Level,6,2015-07-28T00:45:02Z,Business Finance,https://www.udemy.com/retirement-master-course-create-a-retirement-income-to-last/
482834,HTML5 for beginners,TRUE,195,9687,4.4534883,59,59,Beginner Level,5,2015-04-24T18:04:21Z,Web Development,https://www.udemy.com/html-complete-html-course-for-beginners/
482924,Mastering Retouching and Restoration (15 projects Included),TRUE,100,4927,4.2619047,15,22,Intermediate Level,2.5,2015-04-26T12:27:22Z,Graphic Design,https://www.udemy.com/mastering-beauty-retouching-and-photo-restoration/
484132,MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),TRUE,150,1340,4.3,4,272,Intermediate Level,26,2015-07-19T19:43:52Z,Business Finance,https://www.udemy.com/dividend-decision-a-comprehensive-study/
484134,Cost Accounting Operating Costing(Professional Course Level),TRUE,20,731,4.6,2,8,Intermediate Level,1,2015-04-24T00:21:44Z,Business Finance,https://www.udemy.com/operating-costing/
484670,Guitar Super System Level 1,TRUE,50,10869,3.45,2257,104,Intermediate Level,5,2015-04-29T23:49:34Z,Musical Instruments,https://www.udemy.com/guitar-super-system-level-1-unlock-your-potential/
484872,Learn How to Create Your Own Social Network,TRUE,50,4732,3.75,5,14,Intermediate Level,2,2015-04-24T23:54:06Z,Web Development,https://www.udemy.com/create-your-own-social-network/
484896,Desktop Publishing 101: Simplified Editing,TRUE,20,507,4.5,9,9,Beginner Level,1,2015-04-28T17:01:32Z,Graphic Design,https://www.udemy.com/desktop-publishing-101-learn-editing-in-a-simplified-way/
485889,Cost Accounting - A Comprehensive Study,TRUE,180,503,4.681818,43,286,Intermediate Level,29.5,2015-04-26T23:46:55Z,Business Finance,https://www.udemy.com/cost-accounting-a-comprehensive-study/
486240,2 Easy Steps To Investment And Avoiding Traps,TRUE,20,828,3.85,1,20,Intermediate Level,1,2015-04-27T23:18:59Z,Business Finance,https://www.udemy.com/easy-steps-to-investment/
486412,Learning Electric Guitar for Absolute Beginners,TRUE,35,19,4.8,2,12,Beginner Level,1.5,2015-05-04T21:47:44Z,Musical Instruments,https://www.udemy.com/electricguitarforabsolutebeginners/
488220,Drupal Views: Introduction to Enhancing Your Drupal Website,TRUE,105,1262,4.1,36,40,Beginner Level,2.5,2015-05-07T19:49:34Z,Web Development,https://www.udemy.com/drupalviews/
488818,QuickBooks 2015 Training for Newbies,TRUE,200,2506,4.15,21,76,Beginner Level,6,2015-05-11T23:16:54Z,Business Finance,https://www.udemy.com/free-training-quickbooks-2015/
489114,The Complete Video Production Guide - Learn Top Video Tools,TRUE,195,121,4.55,9,77,Intermediate Level,7.5,2015-05-25T23:21:06Z,Graphic Design,https://www.udemy.com/video-production-guide-learn-top-video-tools-to-create-awesome-videos/
489146,Practical Finance,TRUE,20,4497,4.85,281,11,Intermediate Level,1,2015-07-14T18:14:16Z,Business Finance,https://www.udemy.com/practical-finance/
490392,Getting Started with Illustrator CC,TRUE,100,92,4.1,10,57,Beginner Level,5.5,2015-05-01T21:29:51Z,Graphic Design,https://www.udemy.com/getting-started-with-illustrator-cc2/
492344,Cómo Crear Políticas Contables bajo NIIF para PYMES,TRUE,20,27,4.55,5,6,Intermediate Level,1,2015-08-25T16:18:04Z,Business Finance,https://www.udemy.com/como-crear-politicas-contables-bajo-niif-para-pymes/
492818,Professional WordPress Theme Development For 2017,TRUE,20,3185,4.2352943,102,94,Intermediate Level,8,2015-05-08T19:10:30Z,Web Development,https://www.udemy.com/advanced-wordpress-theme-development-next-level-of-theming/
492954,見てわかる！やさしく独習アコギ（入門編）TAKA先生のアコースティックギターレッスンⅠ,TRUE,20,41,4.65,3,48,Beginner Level,2,2015-07-06T18:23:31Z,Musical Instruments,https://www.udemy.com/takaacousticguitar/
493014,Financial modeling: Build a forward looking financial model,TRUE,20,2317,4.5,44,22,Intermediate Level,2,2015-05-05T17:47:11Z,Business Finance,https://www.udemy.com/how-to-make-an-integrated-financial-model/
494058,Expert Guide : Mastering Shapes Creation with Illustrator,TRUE,200,2911,4.4,17,35,Intermediate Level,5,2015-05-25T19:01:26Z,Graphic Design,https://www.udemy.com/mastering-shapes-creation-in-illustrator/
494078,Expert Guide : Mastering Functions in JavaScript !,TRUE,195,3015,4.496399,30,19,Intermediate Level,2.5,2015-06-19T22:58:29Z,Web Development,https://www.udemy.com/functions-in-javascript/
494330,Bookkeeping Made Easy,TRUE,70,1263,4.5,21,18,Beginner Level,1.5,2015-07-14T00:00:48Z,Business Finance,https://www.udemy.com/accounting-made-easy/
494510,WordPress Plugin Tutorial,TRUE,40,1588,4.2,8,15,Beginner Level,0.5666666666666667,2015-05-14T21:38:00Z,Web Development,https://www.udemy.com/wordpress-plugin-tutorial/
494800,Accounting Basics - A Complete Study,TRUE,180,1132,4.35,70,332,Intermediate Level,29,2015-05-06T23:27:45Z,Business Finance,https://www.udemy.com/fundamentals-of-accounting-a-complete-study/
495484,JavaScript for beginners with live examples,TRUE,195,4587,4.6,46,49,Beginner Level,4,2015-09-29T21:41:16Z,Web Development,https://www.udemy.com/javascript-from-basic-fundamentals-to-advanced/
495678,JavaScript for beginners - A Complete Guide,TRUE,100,1193,4.35,87,58,Intermediate Level,10.5,2015-06-16T00:35:45Z,Web Development,https://www.udemy.com/javascript-a-complete-guide/
495958,Build Advanced Responsive Websites with Foundation 6 & SASS,TRUE,200,1276,4.4,245,271,Intermediate Level,22.5,2015-07-08T22:31:50Z,Web Development,https://www.udemy.com/foundation-5-sass-learn-by-building-a-complete-website/
496006,Learn Laravel: Create Your Web App Step-By-Step,TRUE,45,604,4.6,47,35,Intermediate Level,4,2015-05-20T19:48:45Z,Web Development,https://www.udemy.com/laravel-5-course-learn-php-laravel/
496302,Designing an eBook Cover that Sells,TRUE,20,27,4.45,2,18,Intermediate Level,2,2015-05-08T21:54:13Z,Graphic Design,https://www.udemy.com/designing-an-ebook-cover/
496430,Infographic Design: How To Create Your Own Infographic,TRUE,20,84,4.05,8,13,Intermediate Level,2,2015-05-12T20:38:58Z,Graphic Design,https://www.udemy.com/infographic-design-how-to-create-your-own-infographic/
497236,Raise Your Credit Score to 800 Or More....,TRUE,50,844,3.7857144,33,40,Intermediate Level,2,2015-07-12T19:05:43Z,Business Finance,https://www.udemy.com/raise-your-credit-score-to-800-or-more/
497268,Photoshop the Art of Clipart,TRUE,20,30,3.75,3,22,Beginner Level,1,2015-07-05T23:38:42Z,Graphic Design,https://www.udemy.com/photoshop-the-art-of-clipart/
498360,Trading For Busy People,TRUE,50,99,4.05,12,26,Intermediate Level,3,2015-07-06T22:22:25Z,Business Finance,https://www.udemy.com/trading-for-busy-people/
498488,Your First Successful Forex Trades - With Case Studies,TRUE,200,1079,4.35,34,16,Intermediate Level,2.5,2015-05-26T20:48:48Z,Business Finance,https://www.udemy.com/success-forex/
499504,Disminuye deudas en tu hogar en menos de 30 días,TRUE,20,65,4.340909,3,15,Beginner Level,1.5,2015-05-19T22:25:23Z,Business Finance,https://www.udemy.com/disminuye-deudas-en-tu-hogar/
499632,Benefits of Thinking Mobile First Future of Website Design,TRUE,75,14254,4.480392,27,20,Beginner Level,1.5,2015-05-13T22:13:53Z,Web Development,https://www.udemy.com/thinking-mobile-websites-smart-design-tutorial/
499904,Create full featured Landing Page in Ruby on Rails in 3 hour,TRUE,30,1550,4.85,15,23,Intermediate Level,3,2015-05-15T18:53:55Z,Web Development,https://www.udemy.com/rails-1-landing-page/
500628,Angular 2 Demystified,TRUE,20,3150,0,69,49,Intermediate Level,3.5,2015-05-18T20:48:48Z,Web Development,https://www.udemy.com/introduction-to-angular2/
501140,Illustrator CC para novatos: ¡desde cero hasta experto! ,TRUE,150,2476,4.4,466,96,Intermediate Level,11,2015-12-29T20:10:55Z,Graphic Design,https://www.udemy.com/illustrator-cc-para-novatos-desde-cero-hasta-experto/
501384,Essentials Of Swing Trading Stocks,TRUE,20,105,4.75,9,5,Intermediate Level,1,2015-06-03T18:00:18Z,Business Finance,https://www.udemy.com/essentials-of-swing-trading/
501412,Play Piano by Ear Today! SuperCourse,TRUE,60,4557,3.6,21,77,Intermediate Level,5.5,2016-01-05T22:39:04Z,Musical Instruments,https://www.udemy.com/play-piano-by-ear-today-supercourse/
501502,Learn Financial Accounting Different,TRUE,20,79,4.3,1,58,Intermediate Level,6,2015-05-24T21:14:23Z,Business Finance,https://www.udemy.com/learn-financial-accounting-different/
501960,"Binary, Forex, Stock and Bitcoin Trading Strategy",FALSE,0,3757,5,70,14,Intermediate Level,0.6166666666666667,2015-05-28T22:38:25Z,Business Finance,https://www.udemy.com/binary-forex-stock-and-bitcoin-trading-strategy/
501996,Aprende a invertir practicando,TRUE,35,26,4.840909,9,42,Intermediate Level,2,2015-05-28T18:12:44Z,Business Finance,https://www.udemy.com/aprende-a-invertir-practicando/
502204,Dibujo digital básico: cómo ilustrar en Photoshop,TRUE,20,155,2.9,36,90,Beginner Level,5,2016-02-17T23:56:26Z,Graphic Design,https://www.udemy.com/dibujo-digital-basico-como-ilustrar-en-photoshop/
502240,"Value Investing, Taught by Six Superinvestors",TRUE,200,3804,4.15,267,66,Intermediate Level,5,2015-06-19T21:22:17Z,Business Finance,https://www.udemy.com/investing-stars/
502588,Learn GIMP,TRUE,20,441,4.2,53,34,Intermediate Level,6.5,2015-05-18T21:16:23Z,Graphic Design,https://www.udemy.com/learn-gimp/
502772,The Complete Value Investing Course: A Proven Approach,TRUE,200,2146,3.95,212,49,Intermediate Level,4.5,2015-06-16T22:43:07Z,Business Finance,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/
504036,Short Selling: Learn To Sell Stocks Before The Fall,TRUE,75,2276,4.15,106,19,Intermediate Level,1.5,2015-06-22T21:18:35Z,Business Finance,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/
504168,Learn Flute FAST!,TRUE,45,249,4.45,33,61,Beginner Level,4,2015-06-02T19:50:16Z,Musical Instruments,https://www.udemy.com/learn-flute-fast/
504316,Learn Jquery from Scratch 2-Hour Training ,TRUE,20,5318,4.6,56,13,Beginner Level,1.5,2015-07-16T00:40:57Z,Web Development,https://www.udemy.com/jquery_complete/
